"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Slovenia"	705	2062	2050	2023	1988	1948	1904	1851	1790	1722	1650	1578	1506	1435	1366	1300	1236	1173	1110
"Spain"	724	46791	46811	46483	46049	45578	45009	44192	43028	41498	39710	37809	35902	34066	32339	30737	29214	27698	26158
"TFYR Macedonia"	807	2090	2057	2010	1953	1886	1808	1722	1627	1528	1426	1322	1216	1111	1009	914	829	753	687
"Western Europe"	926	191519	191056	189488	187514	185094	182053	178167	173466	168139	162630	157258	152057	146796	141272	135460	129534	123604	117700
"Austria"	40	8489	8538	8556	8559	8537	8490	8412	8298	8142	7964	7784	7606	7419	7211	6979	6732	6473	6206
"Belgium"	56	11097	11139	11132	11107	11059	10979	10849	10669	10449	10212	9975	9738	9491	9224	8935	8632	8318	7994
"France"	250	64485	65269	65661	65971	66135	66031	65577	64831	63876	62803	61669	60478	59180	57730	56087	54311	52437	50485
"Germany"	276	81945	80297	78138	75758	73228	70525	67537	64218	60665	57137	53822	50741	47770	44807	41885	39080	36436	33938
"Liechtenstein"	438	37	38	39	39	40	40	40	39	39	39	38	37	37	36	35	34	32	31
"Luxembourg"	442	539	564	586	604	619	628	630	625	616	605	592	577	561	542	521	499	476	452
"Monaco"	492	38	39	41	42	43	45	46	48	49	50	51	52	52	52	52	52	51	49
"Netherlands"	528	16718	16707	16604	16442	16206	15879	15457	14961	14426	13888	13379	12904	12436	11950	11436	10907	10381	9872
"Switzerland"	756	8171	8464	8733	8991	9227	9437	9620	9776	9878	9933	9948	9924	9851	9720	9530	9288	9001	8672
"LATIN AMERICA AND THE CARIBBEAN"	904	623914	645376	661561	674173	682179	684809	681821	673500	660628	643704	623076	599128	572370	543395	512906	481683	450537	420331
"Caribbean"	915	42707	43393	43734	43874	43705	43173	42256	40984	39467	37770	35944	34030	32053	30034	28000	26000	24095	22335
"Anguilla"	660	14	15	15	15	15	14	14	13	12	12	11	10	9	9	8	7	7	6
"Antigua and Barbuda"	28	91	94	97	99	100	101	101	99	97	95	92	89	86	83	79	74	70	66
"Aruba"	533	103	103	103	102	100	98	94	90	85	81	77	73	69	65	61	56	52	48
"Bahamas"	44	384	400	412	422	429	433	434	432	428	421	413	403	390	376	361	345	328	312
"Barbados"	52	285	288	290	290	289	285	281	275	268	261	253	245	237	228	218	209	199	190
"British Virgin Islands"	92	29	30	30	31	31	31	31	30	30	29	28	27	26	25	24	23	22	20
"Caribbean Netherlands"	535	20	21	22	22	22	22	21	21	20	20	19	18	18	17	16	15	15	14
"Cayman Islands"	136	59	62	63	63	63	62	61	58	56	53	51	49	46	44	42	40	38	36
"Cuba"	192	11156	10929	10623	10299	9899	9413	8838	8186	7488	6778	6092	5456	4869	4323	3807	3330	2909	2550
"Curacao"	531	163	168	170	171	169	167	163	158	152	146	140	134	128	121	115	108	102	96
"Dominica"	212	72	73	73	72	71	70	68	65	63	60	57	54	51	48	44	41	38	35
"Dominican Republic"	214	10546	10954	11253	11475	11604	11628	11543	11360	11102	10780	10399	9965	9484	8967	8427	7876	7329	6803
"Grenada"	308	106	105	103	100	96	92	86	79	74	69	64	60	55	51	47	43	40	37
"Guadeloupe"	312	466	470	472	471	467	460	448	433	417	400	383	367	351	336	319	301	284	267
"Haiti"	332	10505	11019	11438	11799	12088	12284	12370	12344	12231	12035	11756	11400	10981	10516	10022	9515	9013	8529
"Jamaica"	388	2786	2806	2798	2767	2708	2619	2502	2361	2211	2055	1898	1742	1585	1429	1278	1136	1011	905
"Martinique"	474	403	402	399	396	389	380	368	352	335	318	301	286	271	257	242	227	211	197
"Montserrat"	500	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	3
"Puerto Rico"	630	3646	3593	3545	3495	3432	3349	3245	3124	2990	2846	2691	2530	2362	2192	2022	1856	1699	1554
"Saint Kitts and Nevis"	659	55	57	58	59	59	59	59	58	57	55	53	51	49	46	44	41	39	37
"Saint Lucia"	662	183	187	189	190	189	187	183	178	172	164	156	148	139	129	120	110	101	93
"Saint Vincent and the Grenadines"	670	108	107	105	103	102	100	98	95	91	87	83	79	74	69	65	60	56	51
"Sint Maarten (Dutch part)"	534	47	50	52	54	55	56	55	54	53	51	50	48	46	44	41	39	37	34
"Trinidad and Tobago"	780	1333	1317	1280	1235	1184	1126	1059	984	906	829	754	682	614	552	496	447	403	364
"Turks and Caicos Islands"	796	34	36	38	39	39	39	39	38	36	35	33	31	30	28	26	24	23	21
"United States Virgin Islands"	850	106	105	103	100	97	95	92	90	87	85	83	80	78	76	74	71	69	66
"Central America"	916	170205	178099	184609	190123	194286	196838	197688	196899	194696	191181	186434	180583	173794	166209	157950	149215	140276	131473
"Belize"	84	344	377	406	434	459	481	499	512	521	526	526	522	514	503	488	471	452	431
"Costa Rica"	188	4951	5162	5312	5421	5484	5496	5456	5368	5237	5071	4875	4650	4398	4124	3839	3553	3278	3018
"El Salvador"	222	6355	6424	6422	6394	6312	6177	5990	5753	5489	5199	4886	4552	4203	3843	3486	3147	2841	2580
"Guatemala"	320	16103	17850	19568	21290	22968	24556	26024	27351	28527	29530	30330	30911	31267	31395	31301	30998	30507	29859
"Honduras"	340	8340	9004	9606	10168	10667	11087	11419	11659	11814	11882	11862	11752	11551	11267	10913	10504	10056	9585
"Mexico"	484	123972	128603	132170	134895	136562	137000	136159	134123	131073	127119	122364	116947	111025	104713	98077	91243	84401	77818
